level 5
#{{l|ja|のんびり}} -carefree,at leisure
#{{l|ja|場}}, {{l|ja|ば}} -place,field (physics)
#{{l|ja|はあ}} -Yes, Uh-huh, I see,
#{{l|ja|灰}}, {{l|ja|はい}} -ash
#{{l|ja|梅雨}}, {{l|ja|ばいう}} -rainy season,rain during the rainy season
#{{l|ja|配達}}, {{l|ja|はいたつ}} -delivery,distribution
#{{l|ja|俳優}}, {{l|ja|はいゆう}} -actor,actress,player,performer
#{{l|ja|墓}}, {{l|ja|はか}} -grave,tomb
#{{l|ja|馬鹿}}, {{l|ja|ばか}} -fool,idiot,trivial matter,folly
#{{l|ja|博士}}, {{l|ja|はかせ}} -doctorate,PhD
#{{l|ja|計る}}, {{l|ja|はかる}} -to measure,to weigh,to survey
#{{l|ja|履く}}, {{l|ja|はく}} -to wear,to put on (lower body)
#{{l|ja|吐く}}, {{l|ja|はく}} -to breathe out, to vomit
#{{l|ja|拍手}}, {{l|ja|はくしゅ}} -clapping hands,applause
#{{l|ja|莫大}}, {{l|ja|ばくだい}} -enormous,vast
#{{l|ja|爆発}}, {{l|ja|ばくはつ}} -explosion,detonation,eruption
#{{l|ja|博物館}}, {{l|ja|はくぶつかん}} -museum
#{{l|ja|激しい}}, {{l|ja|はげしい}} -violent,vehement,intense
#{{l|ja|はさみ}} -scissors
#{{l|ja|破産}}, {{l|ja|はさん}} -(personal) bankruptcy
#{{l|ja|端}}, {{l|ja|はし}} -end (e.g. of street),edge,tip,margin,point
#{{l|ja|始まり}}, {{l|ja|はじまり}} -origin,beginning
#{{l|ja|外す}}, {{l|ja|はずす}} -to unfasten,to remove
#{{l|ja|旗}}, {{l|ja|はた}} -flag
#{{l|ja|肌}}, {{l|ja|はだ}} -skin
#{{l|ja|裸}}, {{l|ja|はだか}} -naked,nude
#{{l|ja|畑}}, {{l|ja|はたけ}} -field
#{{l|ja|二十}}, {{l|ja|はたち}} -20 years old,
#{{l|ja|働き}}, {{l|ja|はたらき}} -work,labor
#{{l|ja|発見}}, {{l|ja|はっけん}} -discovery,detection,finding
#{{l|ja|発行}}, {{l|ja|はっこう}} -issue (publications)
#{{l|ja|発車}}, {{l|ja|はっしゃ}} -departure of a vehicle
#{{l|ja|罰する}}, {{l|ja|ばっする}} -to punish,to penalize
#{{l|ja|発達}}, {{l|ja|はったつ}} -development,growth
#{{l|ja|ばったり}} -with a clash (thud),with a bang,plump,flop
#{{l|ja|発展}}, {{l|ja|はってん}} -development,growth
#{{l|ja|発表}}, {{l|ja|はっぴょう}} -announcement,publication
#{{l|ja|発明}}, {{l|ja|はつめい}} -invention
#{{l|ja|話し合う}}, {{l|ja|はなしあう}} -to discuss,to talk together
#{{l|ja|離す}}, {{l|ja|はなす}} -to part,divide,separate
#{{l|ja|放す}}, {{l|ja|はなす}} -to separate,to set free
#{{l|ja|離れる}}, {{l|ja|はなれる}} -to be separated from,to leave,to go away,to be a long way off
#{{l|ja|羽}}, {{l|ja|はね}} -counter for birds,counter for rabbits
#{{l|ja|幅}}, {{l|ja|はば}} -width,breadth
#{{l|ja|母親}}, {{l|ja|ははおや}} -mother
#{{l|ja|省く}}, {{l|ja|はぶく}} -to omit,to eliminate,to curtail,to economize
#{{l|ja|場面}}, {{l|ja|ばめん}} -scene,setting (e.g. of novel)
#{{l|ja|腹}}, {{l|ja|はら}} -abdomen,belly,stomach
#{{l|ja|原}}, {{l|ja|はら}} -field,plain,prairie,tundra,moor,wilderness
#{{l|ja|針}}, {{l|ja|はり}} -needle,hand (e.g. clock)
#{{l|ja|張る}}, {{l|ja|はる}} -to stick,to paste
#{{l|ja|番}}, {{l|ja|ばん}} -counter for a number
#{{l|ja|範囲}}, {{l|ja|はんい}} -extent,scope,sphere,range
#{{l|ja|反抗}}, {{l|ja|はんこう}} -opposition,resistance
#{{l|ja|犯罪}}, {{l|ja|はんざい}} -crime
#{{l|ja|判断}}, {{l|ja|はんだん}} -judgement,decision
#{{l|ja|犯人}}, {{l|ja|はんにん}} -offender,criminal
#{{l|ja|販売}}, {{l|ja|はんばい}} -sale,selling,marketing
#{{l|ja|灯}}, {{l|ja|ひ}} -light
#{{l|ja|被害}}, {{l|ja|ひがい}} -damage
#{{l|ja|比較}}, {{l|ja|ひかく}} -comparison
#{{l|ja|轢く}}, {{l|ja|ひく}} -to run somebody over (with vehicle),to knock someone down
#{{l|ja|悲劇}}, {{l|ja|ひげき}} -tragedy
#{{l|ja|飛行}}, {{l|ja|ひこう}} -aviation
#{{l|ja|膝}}, {{l|ja|ひざ}} -knee,lap
#{{l|ja|非常}}, {{l|ja|ひじょう}} -emergency,extraordinary,unusual
#{{l|ja|美人}}, {{l|ja|びじん}} -beautiful person (woman)
#{{l|ja|額}}, {{l|ja|ひたい}} -forehead,brow
#{{l|ja|びっくり}} -be surprised,be amazed,be frightened,astonishment
#{{l|ja|日付}}, {{l|ja|ひづけ}} -date,dating
#{{l|ja|必死}}, {{l|ja|ひっし}} -inevitable death,desperation,frantic,inevitable result
#{{l|ja|ぴったり}} -exactly,neatly,sharp
#{{l|ja|引っ張る}}, {{l|ja|ひっぱる}} -(1) to pull,to draw,to stretch,to drag,(2) to pull the ball (baseball)
#{{l|ja|否定}}, {{l|ja|ひてい}} -negation,denial,repudiation
#{{l|ja|一言}}, {{l|ja|ひとこと}} -single word
#{{l|ja|人込み}}, {{l|ja|ひとごみ}} -crowd of people
#{{l|ja|等しい}}, {{l|ja|ひとしい}} -equal
#{{l|ja|独り}}, {{l|ja|ひとり}} -alone,
#{{l|ja|一人一人}}, {{l|ja|ひとりひとり}} -one by one,each,one at a time
#{{l|ja|批判}}, {{l|ja|ひはん}} -criticism,judgement,comment
#{{l|ja|批評}}, {{l|ja|ひひょう}} -criticism,review,commentary
#{{l|ja|秘密}}, {{l|ja|ひみつ}} -secret,secrecy
#{{l|ja|微妙}}, {{l|ja|びみょう}} -delicate,subtle
#{{l|ja|紐}}, {{l|ja|ひも}} -(1) string,cord,(2) pimp
#{{l|ja|表}}, {{l|ja|ひょう}} -table (e.g. Tab 1),chart,list
#{{l|ja|費用}}, {{l|ja|ひよう}} -cost,expense
#{{l|ja|秒}}, {{l|ja|びょう}} -second (60th min)
#{{l|ja|評価}}, {{l|ja|ひょうか}} -valuation,estimation,assessment,evaluation
#{{l|ja|表現}}, {{l|ja|ひょうげん}} -expression,presentation,representation (math)
#{{l|ja|表情}}, {{l|ja|ひょうじょう}} -facial expression
#{{l|ja|平等}}, {{l|ja|びょうどう}} -equality (a),impartiality,evenness
#{{l|ja|評判}}, {{l|ja|ひょうばん}} -fame,reputation,popularity,arrant
#{{l|ja|表面}}, {{l|ja|ひょうめん}} -surface,outside,face,appearance
#{{l|ja|広がる}}, {{l|ja|ひろがる}} -to spread (out),to extend,to stretch,to reach to,to get around
#{{l|ja|品}}, {{l|ja|ひん}} -elegance, grace, dignity,
#{{l|ja|瓶}}, {{l|ja|びん}} -bottle
#{{l|ja|便}}, {{l|ja|びん}} -way,means
#{{l|ja|不}}, {{l|ja|ふ}} -un,non,negative prefix
#{{l|ja|無}}, {{l|ja|ぶ}} -nothing,naught,nil,zero
#{{l|ja|分}}, {{l|ja|ぶ}} -dividing,part
#{{l|ja|不安}}, {{l|ja|ふあん}} -anxiety,uneasiness,insecurity,suspense
#{{l|ja|風景}}, {{l|ja|ふうけい}} -scenery
#{{l|ja|夫婦}}, {{l|ja|ふうふ}} -married couple,husband and wife
#{{l|ja|笛}}, {{l|ja|ふえ}} -flute,pipe
#{{l|ja|不可}}, {{l|ja|ふか}} -wrong,bad,improper,unjustifiable,inadvisable
#{{l|ja|武器}}, {{l|ja|ぶき}} -weapon,arms,ordinance
#{{l|ja|服装}}, {{l|ja|ふくそう}} -dress, clothes
#{{l|ja|含む}}, {{l|ja|ふくむ}} -to hold in the mouth,to bear in mind
#{{l|ja|袋}}, {{l|ja|ふくろ}} -bag,sack
#{{l|ja|不幸}}, {{l|ja|ふこう}} -unhappiness,sorrow,misfortune,disaster,accident,death
#{{l|ja|節}}, {{l|ja|ふし}} -tune,tone,knot,knob,point
#{{l|ja|無事}}, {{l|ja|ぶじ}} -safety,peace,quietness
#{{l|ja|不思議}}, {{l|ja|ふしぎ}} -mystery,curiosity
#{{l|ja|不自由}}, {{l|ja|ふじゆう}} -discomfort,disability,inconvenience,destitution
#{{l|ja|夫人}}, {{l|ja|ふじん}} -wife,Mrs,madam
#{{l|ja|婦人}}, {{l|ja|ふじん}} -woman,female
#{{l|ja|不正}}, {{l|ja|ふせい}} -injustice,unfairness
#{{l|ja|防ぐ}}, {{l|ja|ふせぐ}} -to defend (against),to protect,to prevent
#{{l|ja|不足}}, {{l|ja|ふそく}} -insufficiency,shortage,deficiency,lack,dearth
#{{l|ja|舞台}}, {{l|ja|ぶたい}} -stage (theatre)
#{{l|ja|双子}}, {{l|ja|ふたご}} -twins,a twin
#{{l|ja|再び}}, {{l|ja|ふたたび}} -again,once more,a second time
#{{l|ja|普段}}, {{l|ja|ふだん}} -usually,habitually,ordinarily,always
#{{l|ja|縁}}, {{l|ja|ふち}} -an edge, a brim, a rim,
#{{l|ja|打つ}}, {{l|ja|ぶつ}} -to hit,to strike
#{{l|ja|物価}}, {{l|ja|ぶっか}} -prices of commodities,prices (in general)
#{{l|ja|物質}}, {{l|ja|ぶっしつ}} -material,substance
#{{l|ja|物理}}, {{l|ja|ぶつり}} -physics
#{{l|ja|筆}}, {{l|ja|ふで}} -writing brush
#{{l|ja|ふと}} -suddenly,casually,accidentally,incidentally,unexpectedly,unintentionally
#{{l|ja|船}}, {{l|ja|ふね}} -ship,boat,watercraft,shipping,vessel,steamship
#{{l|ja|部分}}, {{l|ja|ぶぶん}} -portion,section,part
#{{l|ja|不平}}, {{l|ja|ふへい}} -complaint,discontent,dissatisfaction
#{{l|ja|不満}}, {{l|ja|ふまん}} -dissatisfaction,displeasure,discontent,complaints,unhappiness
#{{l|ja|不利}}, {{l|ja|ふり}} -disadvantage,handicap,unfavorable,drawback
#{{l|ja|振る}}, {{l|ja|ふる}} -(1) to wave,to shake,to swing,(2) to sprinkle,(3) to cast (actor),to allocate (work)
#{{l|ja|震える}}, {{l|ja|ふるえる}} -to shiver,to shake,to quake
#{{l|ja|触れる}}, {{l|ja|ふれる}} -to touch,to be touched,to touch on a subject,to feel,to violate (law, copyright, etc.),to perceive,t
#{{l|ja|風呂}}, {{l|ja|ふろ}} -bath
#{{l|ja|分}}, {{l|ja|ぶん}} -dividing,part,segment
#{{l|ja|文}}, {{l|ja|ぶん}} -sentence
#{{l|ja|雰囲気}}, {{l|ja|ふんいき}} -atmosphere (e.g. musical),mood,ambience
#{{l|ja|分析}}, {{l|ja|ぶんせき}} -analysis
#{{l|ja|文明}}, {{l|ja|ぶんめい}} -civilization,culture
#{{l|ja|分野}}, {{l|ja|ぶんや}} -field,sphere,realm,division,branch
#{{l|ja|塀}}, {{l|ja|へい}} -wall,fence
#{{l|ja|平均}}, {{l|ja|へいきん}} -equilibrium,balance,average,mean
#{{l|ja|平和}}, {{l|ja|へいわ}} -peace,harmony
#{{l|ja|別に}}, {{l|ja|べつに}} -(not) particularly,nothing
#{{l|ja|減らす}}, {{l|ja|へらす}} -to abate,to decrease,to diminish,to shorten
#{{l|ja|減る}}, {{l|ja|へる}} -to decrease (in size or number),to diminish,to abate
#{{l|ja|変化}}, {{l|ja|へんか}} -goblin,ghost,apparition,bugbear
#{{l|ja|勉強}}, {{l|ja|べんきょう}} -study, work, to study, to sell (a thing) cheap
#{{l|ja|変更}}, {{l|ja|へんこう}} -change,modification,alteration
#{{l|ja|弁当}}, {{l|ja|べんとう}} -box lunch
#{{l|ja|方}}, {{l|ja|ほう}} -side
#{{l|ja|法}}, {{l|ja|ほう}} -Act (law: the X Act)
#{{l|ja|棒}}, {{l|ja|ぼう}} -pole,rod,stick
#{{l|ja|冒険}}, {{l|ja|ぼうけん}} -risk,venture,adventure
#{{l|ja|方向}}, {{l|ja|ほうこう}} -direction,course,way
#{{l|ja|報告}}, {{l|ja|ほうこく}} -report,information
#{{l|ja|宝石}}, {{l|ja|ほうせき}} -gem,jewel
#{{l|ja|放送}}, {{l|ja|ほうそう}} -broadcast, broadcasting, to broadcast
#{{l|ja|豊富}}, {{l|ja|ほうふ}} -abundance,wealth,plenty,bounty
#{{l|ja|方法}}, {{l|ja|ほうほう}} -method,manner,way,means,technique
#{{l|ja|方々}}, {{l|ja|ほうぼう}} -persons,this and that,here and there,everywhere
#{{l|ja|訪問}}, {{l|ja|ほうもん}} -call,visit
#{{l|ja|吠える}}, {{l|ja|ほえる}} -to bark,to bay,to howl,to bellow,to roar,to cry
#{{l|ja|頬}}, {{l|ja|ほお}} -cheek (of face)
#{{l|ja|他}}, {{l|ja|ほか}} -some, other place, the rest
#{{l|ja|誇り}}, {{l|ja|ほこり}} -pride
#{{l|ja|埃}}, {{l|ja|ほこり}} -dust
#{{l|ja|保証}}, {{l|ja|ほしょう}} -guarantee, security, assurance, pledge, warranty
#{{l|ja|保存}}, {{l|ja|ほぞん}} -preservation, conservation, storage, maintenance
#{{l|ja|程}}, {{l|ja|ほど}} -degree,extent,bounds,limit
#{{l|ja|歩道}}, {{l|ja|ほどう}} -footpath,walkway,sidewalk
#{{l|ja|仏}}, {{l|ja|ほとけ}} -Buddha,merciful person,Buddhist image,the dead
#{{l|ja|骨}}, {{l|ja|ほね}} -bone
#{{l|ja|炎}}, {{l|ja|ほのお}} -flame
#{{l|ja|頬}}, {{l|ja|ほほ}} -cheek (of face)
#{{l|ja|ほぼ}} -almost,roughly,approximately
#{{l|ja|微笑む}}, {{l|ja|ほほえむ}} -to smile
#{{l|ja|褒める}}, {{l|ja|ほめる}} -to praise,to admire,to speak well
#{{l|ja|濠}}, {{l|ja|ほり}} -moat
#{{l|ja|本当}}, {{l|ja|ほんとう}}- truth,reality
#{{l|ja|本人}}, {{l|ja|ほんにん}} -the person himself
#{{l|ja|本物}}, {{l|ja|ほんもの}} -genuine article
#{{l|ja|ぼんやり}} -absent-minded,block-head,dim,faint,vague
#{{l|ja|間}}, {{l|ja|ま}} -space,room,time,pause
#{{l|ja|まあ}} -(female) you might say
#{{l|ja|マイク}} -mike
#{{l|ja|迷子}}, {{l|ja|まいご}} -lost (stray) child
#{{l|ja|任せる}}, {{l|ja|まかせる}} -to entrust to another,to leave to
#{{l|ja|幕}}, {{l|ja|まく}} -curtain,bunting,act (in play)
#{{l|ja|負け}}, {{l|ja|まけ}} -defeat,loss,losing (a game)
#{{l|ja|孫}}, {{l|ja|まご}} -grandchild
#{{l|ja|まさか}} -nonsense, that's impossible,
#{{l|ja|まさに}} -correctly, surely
#{{l|ja|真面目}}, {{l|ja|まじめ}} -diligent,serious,honest
#{{l|ja|増す}}, {{l|ja|ます}} -to increase,to grow
#{{l|ja|先ず}}, {{l|ja|まず}} -first (of all),to start with,about,almost,hardly (with neg. verb)
#{{l|ja|貧しい}}, {{l|ja|まずしい}} -poor, needy
#{{l|ja|ますます}} -increasingly,more and more
#{{l|ja|又}}, {{l|ja|また}} -again,and
#{{l|ja|未だ}}, {{l|ja|まだ}} -yet,still,more,besides
#{{l|ja|街}}, {{l|ja|まち}} -(1) town, city
#{{l|ja|間違い}}, {{l|ja|まちがい}} -mistake
#{{l|ja|松}}, {{l|ja|まつ}} -(1) pine tree,(2) highest (of a three-tier ranking system)
#{{l|ja|真っ赤}}, {{l|ja|まっか}} -deep red,flushed (of face)
#{{l|ja|真っ直ぐ}}, {{l|ja|まっすぐ}} -straight (ahead),direct,upright
#{{l|ja|全く}}, {{l|ja|まったく}} -really,truly,entirely,completely
#{{l|ja|祭}}, {{l|ja|まつり}} -festival,feast
#{{l|ja|学ぶ}}, {{l|ja|まなぶ}} -to study (in depth),to learn,to take lessons in
#{{l|ja|真似}}, {{l|ja|まね}} -mimicry,imitation,behavior,pretense
#{{l|ja|招く}}, {{l|ja|まねく}} -to invite
#{{l|ja|豆}}, {{l|ja|まめ}} -beans,peas
#{{l|ja|守る}}, {{l|ja|まもる}} -to protect,to obey,to guard,to abide (by the rules)
#{{l|ja|丸}}, {{l|ja|まる}} -circle,full (month),perfection,purity,suffix for ship names
#{{l|ja|丸い}}, {{l|ja|まるい}} -round,circular,spherical
#{{l|ja|まるで}} -quite,entirely,completely
#{{l|ja|回す}}, {{l|ja|まわす}} -to turn,to revolve
#{{l|ja|回り}}, {{l|ja|まわり}} -circumference,surroundings,circulation
#{{l|ja|万一}}, {{l|ja|まんいち}} -by any chance
#{{l|ja|満足}}, {{l|ja|まんぞく}} -satisfaction
#{{l|ja|身}}, {{l|ja|み}} -body,main part,oneself,sword
#{{l|ja|実}}, {{l|ja|み}} -fruit,nut,seed,content,good result
#{{l|ja|見送り}}, {{l|ja|みおくり}} -seeing one off,farewell,escort
#{{l|ja|味方}}, {{l|ja|みかた}} -friend,ally,supporter
#{{l|ja|見事}}, {{l|ja|みごと}} -splendid,magnificent,beautiful,admirable
#{{l|ja|満ちる}}, {{l|ja|みちる}} -to be full,to rise (tide),to mature,to expire
#{{l|ja|密}}, {{l|ja|みつ}} -dense, thick
#{{l|ja|認める}}, {{l|ja|みとめる}} -to recognize,to appreciate,to approve,to admit,to notice
#{{l|ja|見舞い}}, {{l|ja|みまい}} -enquiry,expression of sympathy,expression of concern
#{{l|ja|土産}}, {{l|ja|みやげ}} -present,souvenir
#{{l|ja|都}}, {{l|ja|みやこ}} -capital
#{{l|ja|妙}}, {{l|ja|みょう}} -strange,unusual
#{{l|ja|明後日}}, {{l|ja|みょうごにち}} -day after tomorrow
#{{l|ja|未来}}, {{l|ja|みらい}} -future (life, tense)
#{{l|ja|魅力}}, {{l|ja|みりょく}} -charm,fascination,glamour
#{{l|ja|皆}}, {{l|ja|みんな}} -all,everyone,everybody
#{{l|ja|無}}, {{l|ja|む}} -nothing,naught,nil,zero
#{{l|ja|向かい}}, {{l|ja|むかい}} -facing,opposite,across the street,other side
#{{l|ja|迎え}}, {{l|ja|むかえ}} -meeting,person sent to pick up an arrival
#{{l|ja|向く}}, {{l|ja|むく}} -to face
#{{l|ja|向ける}}, {{l|ja|むける}} -to turn towards,to point
#{{l|ja|無視}}, {{l|ja|むし}} -disregard,ignore
#{{l|ja|虫歯}}, {{l|ja|むしば}} -cavity,tooth decay,decayed tooth,caries
#{{l|ja|寧ろ}}, {{l|ja|むしろ}} -rather,better,instead
#{{l|ja|結ぶ}}, {{l|ja|むすぶ}} -to tie,to bind,to link
#{{l|ja|無駄}}, {{l|ja|むだ}} -futility,uselessness
#{{l|ja|夢中}}, {{l|ja|むちゅう}} -daze,(in a) trance,ecstasy,delirium,engrossment
#{{l|ja|胸}}, {{l|ja|むね}} -breast,chest
#{{l|ja|無料}}, {{l|ja|むりょう}} -free,no charge
#{{l|ja|芽}}, {{l|ja|め}} -sprout
#{{l|ja|明確}}, {{l|ja|めいかく}} -clear up,clarify,define
#{{l|ja|命じる}}, {{l|ja|めいじる}} -to order,to command,to appoint
#{{l|ja|名人}}, {{l|ja|めいじん}} -master,expert
#{{l|ja|命令}}, {{l|ja|めいれい}} -order,command,decree,directive,(software) instruction
#{{l|ja|迷惑}}, {{l|ja|めいわく}} -trouble,bother,annoyance
#{{l|ja|飯}}, {{l|ja|めし}} -(sl) meals,food
#{{l|ja|滅多に}}, {{l|ja|めったに}} -rarely (with neg. verb),seldom
#{{l|ja|面}}, {{l|ja|めん}} -a mask, the face, the surface, an aspect, a side,
#{{l|ja|綿}}, {{l|ja|めん}} -cotton,padding
#{{l|ja|免許}}, {{l|ja|めんきょ}} -license,permit,licence,certificate
#{{l|ja|面倒}}, {{l|ja|めんどう}} -trouble,difficulty,care,attention
#{{l|ja|申し込む}}, {{l|ja|もうしこむ}} -to apply for,to make an application
#{{l|ja|申し訳}}, {{l|ja|もうしわけ}} -apology,excuse
#{{l|ja|毛布}}, {{l|ja|もうふ}} -blanket
#{{l|ja|燃える}}, {{l|ja|もえる}} -to burn
#{{l|ja|目的}}, {{l|ja|もくてき}} -purpose,goal,aim,objective,intention
#{{l|ja|目標}}, {{l|ja|もくひょう}} -mark,objective,target
#{{l|ja|木曜}}, {{l|ja|もくよう}} -Thursday
#{{l|ja|文字}}, {{l|ja|もじ}} -letter (of alphabet),character
#{{l|ja|もしも}} -if
#{{l|ja|持ち上げる}}, {{l|ja|もちあげる}} -to raise,to lift up,to flatter
#{{l|ja|用いる}}, {{l|ja|もちいる}} -to use,to make use of
#{{l|ja|勿論}}, {{l|ja|もちろん}} -of course,certainly,naturally
#{{l|ja|最も}}, {{l|ja|もっとも}} -most,extremely
#{{l|ja|尤も}}, {{l|ja|もっとも}} -quite right,plausible,natural,but then,although
#{{l|ja|元}}, {{l|ja|もと}} -(1) origin,original,(2) former
#{{l|ja|基}}, {{l|ja|もと}} -basis
#{{l|ja|戻す}}, {{l|ja|もどす}} -to restore,to put back,to return
#{{l|ja|基づく}}, {{l|ja|もとづく}} -to be grounded on,to be based on,to be due to,to originate from
#{{l|ja|求める}}, {{l|ja|もとめる}} -to seek,to request,to demand,to want,to wish for,to search for,to pursue (pleasure),to hunt (a job),
#{{l|ja|者}}, {{l|ja|もの}} -person
#{{l|ja|物音}}, {{l|ja|ものおと}} -sounds
#{{l|ja|物語}}, {{l|ja|ものがたり}} -tale,story,legend
#{{l|ja|物事}}, {{l|ja|ものごと}} -things,everything
#{{l|ja|模様}}, {{l|ja|もよう}} -pattern,figure,design
#{{l|ja|貰う}}, {{l|ja|もらう}} -to receive
#{{l|ja|文句}}, {{l|ja|もんく}} -phrase,complaint
#{{l|ja|文字}}, {{l|ja|もんじ}} -letter (of alphabet),character
#{{l|ja|やがて}} -before long,soon,at length
#{{l|ja|役}}, {{l|ja|やく}} -use,service,role,position
#{{l|ja|約}}, {{l|ja|やく}} -approximately,about,some
#{{l|ja|訳}}, {{l|ja|やく}} -translation, a version
#{{l|ja|役割}}, {{l|ja|やくわり}} -part,assigning (allotment of) parts,role,duties
#{{l|ja|家賃}}, {{l|ja|やちん}} -rent
#{{l|ja|厄介}}, {{l|ja|やっかい}} -trouble,burden,care,bother
#{{l|ja|宿}}, {{l|ja|やど}} -inn,lodging
#{{l|ja|雇う}}, {{l|ja|やとう}} -to employ,to hire
#{{l|ja|屋根}}, {{l|ja|やね}} -roof
#{{l|ja|やはり}} -also,as I thought,still,in spite of,absolutely,of course
#{{l|ja|破る}}, {{l|ja|やぶる}} -to tear,to violate,to defeat,to smash,to destroy
#{{l|ja|辞める}}, {{l|ja|やめる}} -to retire
#{{l|ja|やや}} -a little,partially,somewhat,a short time,a while
#{{l|ja|唯一}}, {{l|ja|ゆいいつ}} -only,sole,unique
#{{l|ja|言う}}, {{l|ja|ゆう}} -to say
#{{l|ja|勇気}}, {{l|ja|ゆうき}} -courage,bravery,valour,nerve,boldness
#{{l|ja|有効}}, {{l|ja|ゆうこう}} -validity,availability,effectiveness
#{{l|ja|優秀}}, {{l|ja|ゆうしゅう}} -superiority,excellence
#{{l|ja|優勝}}, {{l|ja|ゆうしょう}} -overall victory,championship
#{{l|ja|友情}}, {{l|ja|ゆうじょう}} -friendship,fellowship
#{{l|ja|友人}}, {{l|ja|ゆうじん}} -friend
#{{l|ja|有能}}, {{l|ja|ゆうのう}} -able,capable,efficient,skill
#{{l|ja|郵便}}, {{l|ja|ゆうびん}} -mail,postal service
#{{l|ja|夕べ}}, {{l|ja|ゆうべ}} -evening
#{{l|ja|有利}}, {{l|ja|ゆうり}} -advantageous,better,profitable,lucrative
#{{l|ja|床}}, {{l|ja|ゆか}} -floor
#{{l|ja|愉快}}, {{l|ja|ゆかい}} -pleasant,happy
#{{l|ja|輸出}}, {{l|ja|ゆしゅつ}}する -export, to export
#{{l|ja|譲る}}, {{l|ja|ゆずる}} -to turn over,to assign,to hand over
#{{l|ja|豊か}}, {{l|ja|ゆたか}} -abundant,wealthy,plentiful,rich
#{{l|ja|ゆっくり}} -slowly,at ease
#{{l|ja|輸入}}, {{l|ja|ゆにゅう}}する -importation,import,introduction, to import
#{{l|ja|許す}}, {{l|ja|ゆるす}} -to permit, to allow, to approve, to forgive
#{{l|ja|夜}}, {{l|ja|よ}} -evening,night
#{{l|ja|夜明け}}, {{l|ja|よあけ}} -dawn,daybreak
#{{l|ja|よい}} -good,nice,pleasant,ok
#{{l|ja|様}}, {{l|ja|よう}} -way,manner,kind
#{{l|ja|酔う}}, {{l|ja|よう}} -to get drunk,to become intoxicated
#{{l|ja|容易}}, {{l|ja|ようい}} -easy,simple,plain
#{{l|ja|陽気}}, {{l|ja|ようき}} -cheerful, lively, merry
#{{l|ja|要求}}, {{l|ja|ようきゅう}} -request,demand,requisition
#{{l|ja|用心}}, {{l|ja|ようじん}} -care,precaution,guarding,caution
#{{l|ja|様子}}, {{l|ja|ようす}} -aspect,state,appearance
#{{l|ja|要するに}}, {{l|ja|ようするに}} -in a word,after all,the point is ..,in short ..
#{{l|ja|要素}}, {{l|ja|ようそ}} -element
#{{l|ja|要点}}, {{l|ja|ようてん}} -gist,main point
#{{l|ja|曜日}}, {{l|ja|ようび}} -day of the week
#{{l|ja|予期}}, {{l|ja|よき}} -expectation,assume will happen,forecast
#{{l|ja|横切る}}, {{l|ja|よこぎる}} -to cross (e.g. arms),to traverse
#{{l|ja|予算}}, {{l|ja|よさん}} -estimate,budget
#{{l|ja|止す}}, {{l|ja|よす}} -to cease,to abolish,to resign,to give up
#{{l|ja|予測}}, {{l|ja|よそく}} -prediction,estimation
#{{l|ja|夜中}}, {{l|ja|よなか}} -midnight,dead of night
#{{l|ja|世の中}}, {{l|ja|よのなか}} -society,the world,the times
#{{l|ja|余分}}, {{l|ja|よぶん}} -extra,excess,surplus
#{{l|ja|予報}}, {{l|ja|よほう}} -forecast,prediction
#{{l|ja|予防}}, {{l|ja|よぼう}} -prevention,precaution,protection against
#{{l|ja|読み}}, {{l|ja|よみ}} -reading
#{{l|ja|嫁}}, {{l|ja|よめ}} -bride,daughter-in-law
#{{l|ja|余裕}}, {{l|ja|よゆう}} -surplus,composure,margin,room,time,allowance,scope,rope
#{{l|ja|よると}} -according to
#{{l|ja|喜び}}, {{l|ja|よろこび}} -(a) joy,(a) delight,rapture,pleasure,gratification,rejoicing,congratulations,felicitations
#{{l|ja|宜しい}}, {{l|ja|よろしい}} -(hon) good,OK,all right,fine,very well,will do,may,can
#{{l|ja|よろしく}} -well,properly,suitably,best regards,please remember me
#{{l|ja|四}}, {{l|ja|よん}} -four
#{{l|ja|来}}, {{l|ja|らい}} -,for (10 days),next (year)
#{{l|ja|楽}}, {{l|ja|らく}} -comfort,ease
#{{l|ja|利益}}, {{l|ja|りえき}} -profits,gains,(political, economic) interest
#{{l|ja|理解}}, {{l|ja|りかい}} -understanding,comprehension
#{{l|ja|陸}}, {{l|ja|りく}} -(the) land
#{{l|ja|利口}}, {{l|ja|りこう}} -clever,shrewd,bright,sharp,wise,intelligent
#{{l|ja|離婚}}, {{l|ja|りこん}} -divorce
#{{l|ja|理想}}, {{l|ja|りそう}} -ideal
#{{l|ja|率}}, {{l|ja|りつ}} -rate,ratio,proportion,percentage
#{{l|ja|立派}}, {{l|ja|りっぱ}} -splendid,fine,handsome,elegant,imposing,prominent,legal,legitimate
#{{l|ja|留学}}, {{l|ja|りゅうがく}} -studying abroad
#{{l|ja|流行}}, {{l|ja|りゅうこう}} -fashionable,fad,in vogue,prevailing
#{{l|ja|量}}, {{l|ja|りょう}} -quantity,amount,volume,portion (of food)
#{{l|ja|両替}}, {{l|ja|りょうがえ}} -change,money exchange
#{{l|ja|料金}}, {{l|ja|りょうきん}} -fee,charge,fare
#{{l|ja|例}}, {{l|ja|れい}} -instance,example,case
#{{l|ja|礼}}, {{l|ja|れい}} -expression of gratitude
